127.0.0.1 - - [20/Sep/2018:09:23:31 +0000] "GET /local-adminer-S17OI1ZF7.php?username=&db=local HTTP/1.0" 200 29584 "http://college.local/local-adminer-S17OI1ZF7.php?username=" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:23:31 +0000] "GET /local-adminer-S17OI1ZF7.php?username=&db=local&script=db HTTP/1.0" 200 3622 "http://college.local/local-adminer-S17OI1ZF7.php?username=&db=local" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:23:42 +0000] "POST /local-adminer-S17OI1ZF7.php?username= HTTP/1.0" 302 0 "http://college.local/local-adminer-S17OI1ZF7.php?username=" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:23:42 +0000] "GET /local-adminer-S17OI1ZF7.php?username= HTTP/1.0" 200 8690 "http://college.local/local-adminer-S17OI1ZF7.php?username=" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:23:45 +0000] "GET /local-adminer-S17OI1ZF7.php?username=&import= HTTP/1.0" 200 5176 "http://college.local/local-adminer-S17OI1ZF7.php?username=" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:24:04 +0000] "POST /local-adminer-S17OI1ZF7.php?username=&import= HTTP/1.0" 200 5587 "http://college.local/local-adminer-S17OI1ZF7.php?username=&import=" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:24:07 +0000] "GET /local-adminer-S17OI1ZF7.php?username= HTTP/1.0" 200 8730 "http://college.local/local-adminer-S17OI1ZF7.php?username=&import=" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:24:18 +0000] "POST /wp-cron.php?doing_wp_cron=1537435457.5775659084320068359375 HTTP/1.0" 499 0 "http://college.local/wp-cron.php?doing_wp_cron=1537435457.5775659084320068359375" "WordPress/4.9.8; http://college.local"
127.0.0.1 - - [20/Sep/2018:09:24:18 +0000] "GET / HTTP/1.0" 200 53180 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [20/Sep/2018:09:24:19 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://college.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
